EnglishName	EnglishAlternatives	Greek	GrkTranslit	GrkTidy	Hebrew	HebTranslit	HebTidy	Comment
# Individuals
Aaron		Ἀαρών	Aʼarōn	Aʼaron	אַהֲרֹן	ʼAhₐron	Aharon	Acts 7:40
Abaddon		Ἀβαδδών	Abaddōn	Abaddon	אֲבַדּוֹן	ʼAⱱaddōn	Avaddon	Rev 9:11
Abel		Ἄβελ	Abel	Abel	הֶבֶל	Heⱱel	Hevel	Heb 11:4
Abiathar		Ἀβιάθαρ	Abiathar	Abiathar	אֶבְיָתָר	ʼEⱱyātār	Evyatar	
Abijah		Ἀβιά	Abia	Abia	אֲבִיָה	ʼAⱱīāh	Aviah	
Abiud		Ἀβιούδ	Abioud	Abioud	אֲבִיהוּד	ʼAⱱīhūd	Avihud	
Abraham		Ἀβραάμ	Abraʼam	Abraʼam	אַבְרָהָם	ʼAⱱrāhām	Avraham	
Achaz		Ἀχάζ	Aⱪaz	Aⱪaz	אָחָז	ʼĀḩāz	Ahaz	Matt 1:9
Achim		Ἀχείμ	Aⱪeim	Aⱪeim	יוֹקִים	Yōqīm	Yokim	
Adam		Ἀδάμ	Adam	Adam	אָדָם	ʼĀdām	Adam	
Addi		Ἀδδί	Addi	Addi	עֲדִי?	ˊAdī?	Adi?	
Admin		Ἀδμὶν	Admin	Admin	רָם?	Rām?	Ram?	
Ahaz		Ἀχάζ	Aⱪaz	Aⱪaz	אָחָז	ʼĀḩāz	Ahaz	
Aminadab		Ἀμιναδάβ	Aminadab	Aminadab	עַמִּינָדָב	ˊAmminādāⱱ	Amminadav	
Amos		Ἀμώς	Amōs	Amos	אָמוֹץ	ʼĀmōʦ	Amots	
Aram		Ἀρὰμ	Aram	Aram	רָם	Rām	Ram	
Armageddon		Ἁρμαγεδών	Harmagedōn	Harmagedon	Mount-Megiddon	Mount-Megiddon	Mount-Megiddon	Rev 16:16 (Underline joiner doesn't work)
Arni		Ἀρνὶ	Arni	Arni	רָם?	Rām?	Ram?	
Arphaxad		Ἀρφαξάδ	Arfaxad	Arfaxad	אַרְפַּכְשַׂד	ʼArpaksad	Arpaksad	
Asaph		Ἀσάφ	Asaf	Asaf	אָסָף	ʼĀşāf	Asaf	
Aser		Ἀσήρ	Asaʸr	Aser	אָשֵׁר	ʼĀshēr	Asher	Luke 2:36
Azor		Ἀζώρ	Azōr	Azor	עַזּוּר	ˊAzzūr	Azzur	
Baal		Βάαλ	Baal	Baal	בַּעַל	Baˊal	Baˊal	Rom 11:4
Balaam		Βαλαάμ	Balaʼam	Balaʼam	בִּלְעָם	Bilˊām	Bilˊam	
Barachias		Βαραχίας	Baraⱪias	Baraⱪias	בֶּרֶכְיָה	Berekyāh	Berekyah	Matt 23:35
Barak		Βαράκ	Barak	Barak	בָּרָק	Bārāq	Barak	Heb 11:32
Benjamin		Βενιαμίν	Beniamin	Beniamin	בִּנְיָמִין	Binyāmīn	Binyamin	Acts 13:21
Boaz		Βοόζ	Boʼoz	Boʼoz	בֹּעַז	Boˊaz	Boˊaz	
Cain		Κάϊν	Kain	Kain	קַיִן	Qayin	Kayin	
Cainan		Καϊνάν	Kainan	Kainan	קֵינָן	Qēynān	Keynan	
Canaan		Χαναάν	Ⱪanaʼan	Ⱪanaʼan	כִּנַעַן	Kinaˊan	Kinaˊan	Acts 7:11
Cosam		Κωσάμ	Kōsam	Kosam	קָסַם?	Qāşam?	Kasam?	
Daniel		Δανιήλ	Daniaʸl	Daniel	דָנִיֵּאל	Dāniyyēʼl	Daniyeʼl	Matt 24:15
David		Δαυίδ	Dawid	Dawid	דָּוִד	Dāvid	David	
Eber		Ἕβερ	Heber	Heber	עֵבֵר	ˊĒⱱēr	Ever	
Eleazar		Ἐλεάζαρ	Eleazar	Eleazar	אֶלְעָזָר	ʼElˊāzār	Elˊazar	
Eliakim		Ἐλιακείμ	Eliakeim	Eliakeim	אֶלְיָקִים	ʼElyāqīm	Elyakim	
Eliezer		Ἐλιέζερ	Eliezer	Eliezer	אֶלִיעֶזֶר	ʼElīˊezer	Eliˊezer	
Elijah		Ἠλίας	Aʸlias	Elias	אֵלִיָּה	ʼĒliyyāh	Eliyah	Luke 4:26
Elisha		Ἐλισσαῖος	Elissaios	Elissaios	אֱלִישָׁע	ʼElīshāˊ	Elisha	Luke 4:27
Eliud		Ἐλιούδ	Elioud	Elioud	אֵל-הוֹד	ʼĒl-hōd	El-hod	
Eli		Ἠλὶ	Aʸli	Eli	עֵלִי	ˊĒlī	Eli	
Elmadam		Ἐλμωδάμ	Elmōdam	Elmodam	אַלְמוֹדָד?	ʼAlmōdād?	Almodad?	
Emmanuel		Ἐμμανουήλ	Emmanouaʸl	Emmanouel	עִמָּנוּאֵל	ˊImmānūʼēl	Immanuʼel	
Emmor		Ἐμμόρ	Emmor	Emmor	חֲמוֹר	Ḩₐmōr	Hamor	Acts 7:16
Enoch		Ἐνώχ	Enōⱪ	Enoⱪ	חֲנוֹךְ	Ḩₐnōk	Hanok	
Enos		Ἐνώς	Enōs	Enos	אֱנוֹשׁ	ʼEnōsh	Enosh	
Er		Ἤρ	Aʸr	Er	עֵר?	ˊĒr?	Er?	
Esau		Ἠσαῦ	Aʸsau	Esau	עֵשָׂו	ˊĒsāv	Esav	Heb 11:20
Esli		Ἐσλί	Esli	Esli	אֶלְיְהוֹעֵינַי?	ʼElyəhōˊēynay?	Elyehoˊeynay?	
Esrom		Ἑσρώμ	Hesrōm	Hesrom	חֶצְרוֹן	Ḩeʦrōn	Hetsron	
Eve		Εὕα	Heua	Heua	חַוָּה	Ḩavvāh	Havvah	
Gabriel		Γαβριήλ	Gabriaʸl	Gabriel	גַּבְרִיאֵל	Gaⱱrīʼēl	Gavriʼel	angel Luke 1:19
Gad		Γάδ	Gad	Gad	גָּד	Gād	Gad	Rev 7:5
Gamaliel		Γαμαλιήλ	Gamaliaʸl	Gamaliel	גַּמְלִיאֵל	Gamlīʼēl	Gamliʼel	Acts 5:34
Gideon		Γεδεών	Gedeōn	Gedeon	גִּדְעוֹן	Gidˊōn	Gidˊon	Heb 11:32
Gog		Γώγ	Gōg	Gog	גּוֹג	Gōg	Gog	
Hagar		Ἅγαρ	Hagar	Hagar	הָגָר	Hāgār	Hagar	Gal 4:24
Hezron		Ἑσρώμ	Hesrōm	Hesrom	חֶצְרוֹן	Ḩeʦrōn	Hetsron	
Hezekiah		Ἑζεκίας	Hezekias	Hezekias	חִזְקִיָּה	Ḩizqiyyāh	Hizkiyah	
Isaac		Ἰσαὰκ	Isaʼak	Isaʼak	יִצְחָק	Yiʦḩāq	Yitshak	
Isaiah		Ἠσαίας	Aʸsaias	Esaias	יְשַׁעְיָה	Yəshaˊyāh	Yeshaˊyah	
Israel		Ἰσραήλ	Israaʸl	Israel	יִשְׂרָאֵל	Yisrāʼēl	Yisraʼel	
Issachar		Ἰσαχάρ	Isaⱪar	Isaⱪar	יִשָּׂשׂכָר	Yissāskār	Yissaskar	Rev 7:7
Jacobus		Ἰάκωβος	Yakōbos	Yakobos	יַעֲקֹב	Yaˊₐqoⱱ	Yaˊakov	
Jacob		Ἰακὼβ	Yakōb	Yakob	יַעֲקֹב	Yaˊₐqoⱱ	Yaˊakov	
James		Ἰάκωβος	Yakōbos	Yakobos	יַעֲקֹב	Yaˊₐqoⱱ	Yaˊakov	
Jannai		Ἰαννά	Yanna	Yanna	יָנָה?	Yānāh?	Yanah?	
Jared		Ἰαρέδ	Yared	Yared	יֶרֶד	Yered	Yered	
Jechonias		Ἰεχονίας	Yeⱪonias	Yeⱪonias	יְכָנְיָה	Yəkānəyāh	Yekaneyah	
Jephtha		Ἰεφθάε	Yefthae	Yefthae	יִפְתָּח	Yiftāḩ	Yiftah	Heb 11:32
Jeremiah		Ἰερεμίας	Yeremias	Yeremias	יִרְמְיָה	Yirməyāh	Yirmeyah	Matt 27:9
Jesse		Ἰεσσαί	Yessai	Yessai	יִשַׁי	Yishay	Yishay	
Jesus		Ἰησοῦς	Yaʸsous	Yesous	יְהוֹשׁוּעַ	Yəhōshūˊa	Yehoshuˊa	
