Lemma	Glosses
1023+	house_of
1099+	not
1125+	Ben_of
1127+	Ben__(1127)_of
1128+	Ben_(1128)_of
1136+	Ben_of
1145+	man;son_of
2334+	villages_of
2679+	half_of
2680+	half_of
3071+	LORD
4036+	terror
4192+	death_of
439+	Allon
4610+	ascent_of
4965+	metheg_of
516+	not
5898+	city_of
5904+	city
5905+	Ir-Shemesh
6548+	Pharaoh
6549+	Pharaoh
6978+	line_of
7248+	high;high_of
7249+	chief_of;rab-saris_of
7262+	field_commander;field_commander_of;rabshakeh;rabshakeh_of
7434+	Ramath
7436+	Ramathaim
7802+	lilies;lily_of
אֱגוֹז	nut_trees
אֱדַיִן	also;so;that_time;then
אֱדֹם	red
אֱדוֹם	Edom;Edomites
אֱהִי	where
אֱוִי	Evi
אֱוִיל	fool;foolish;fools
אֱוִיל מְרֹדַךְ	-merodach;Evil-
אֱוִלִי	foolish
אֱיָל	strength
אֱיָלוּת	help_of
אֱלִיאֵל	Eliel
אֱלִיאָב	Eliab;Eliab's
אֱלִידָד	Elidad
אֱלִיהוּ	Elihu
אֱלִיחֹרֶף	Elihoreph
אֱלִיל	idols;idols_of;images;worthless
אֱלִימֶלֶךְ	Elimelech
אֱלִיעֶזֶר	Eliezer
אֱלִיעָם	Eliam
אֱלִיפְלֵהוּ	Eliphelehu
אֱלִיפַז	Eliphaz
אֱלִיפָל	Eliphal
אֱלִיצָפָן	Elizaphan;Elzaphan
אֱלִיצוּר	Elizur
אֱלִיקָא	Elika
אֱלִישֶׁבַע	Elisheba
אֱלִישָׁה	Elishah
אֱלִישָׁמָע	Elishama
אֱלִישָׁע	Elisha
אֱלִישָׁפָט	Elishaphat
אֱלִישׁוּעַ	Elishua
אֱלָהּ	god;god_of;gods;gods_of
אֱלֹהִים	Elohe_of;god;God;God's;God_of;god_of;goddess_of;Godly;gods;gods_of;great;judges;mighty;spirit
אֱלֹהַּ	god;God;God's;God_of;god_of
אֱלוּל	Elul
אֱמֶת	fairness;faith;faithful;faithfully;faithfulness;faithfulness_of;good_faith;lasting;purest;reliable;right;security;sure;sure_of;true;truly;trustworthy;truth;truth_of;truthful
אֱמֹרִי	Amorite;Amorites
אֱמוּנָה	entrusted;faith_of;faithful;faithfully;faithfulness;faithfulness_of;honesty;integrity;stability_of;steady;trust;trust_of;truth
אֱנָשׁ	human;man;mankind;men;men_of;person
אֱנוֹשׁ	Enosh;everyone;human;man;man's;man_of;mankind;men;men_of;mortal;mortals;ordinary;others;people
אֱסָר	decree;decree_of;edict;edict_of;interdict
אֱסוּר	band;imprisonment
אֲבִי	Abi
אֲבִי הָעֶזְרִי	-ezrite;-ezrites;Abi-
אֲבִיָּהוּ	Abijah
אֲבִיָּם	Abijam
אֲבִיּוֹנָה	desire
אֲבִי־עַלְבוֹן	-albon;Abi-
אֲבִיאֵל	Abiel
אֲבִיאָסָף	Abiasaph
אֲבִיגַיִל	Abigail
אֲבִידָן	Abidan
אֲבִידָע	Abida
אֲבִיהוּא	Abihu
אֲבִיהוּד	Abihud
אֲבִיחַיִל	Abihail
אֲבִיטָל	Abital
אֲבִיטוּב	Abitub
אֲבִימֶלֶךְ	Abimelech;Abimelech's;Ahimelech
אֲבִימָאֵל	Abimael
אֲבִינֵר	Abner;Abner's
אֲבִינָדָב	Abinadab
אֲבִינֹעַם	Abinoam
אֲבִיעֶזֶר	Abiezer;Abiezrites
אֲבִירָם	Abiram
אֲבִישַׁג	Abishag
אֲבִישַׁי	Abishai
