TraditionalName	LVName
-ezer	ˊezer
-gaber	geⱱer
-geber	geⱱer
-nego	nəgō
Aaron	Aʼarōn
Aaron	ʼAhₐron
Abaddon	Abaddōn
Abaddon	ʼAⱱaddōn
Abanah	ʼAⱱānāh
Abda	ˊAⱱdāʼ
Abdi	ˊAⱱdiy
Abdon	ˊAⱱdōn
Abed	ˊAⱱēd
Abed-nego	ˊAⱱēd-nəgō
Abednego	ˊAⱱēd-nəgō
Abel	Abel
Abel	Heⱱel
Abel	ʼAⱱēl
Abel	ʼĀⱱēl
Abel-maim	ʼAⱱēl-mayim
Abelmaim	ʼAⱱēl-mayim
Abi	ʼAⱱī
Abiathar	Abiathar
Abiathar	ʼEⱱyātār
Abida	ʼAⱱīdāˊ
Abiel	ʼAⱱīʼēl
Abiezer	ʼAⱱīˊezr
Abigail	ʼAⱱīgayil
Abihail	ʼAⱱīhayil
Abihu	ʼAⱱīhūʼ
Abijah	Abia
Abijah	ʼAⱱiyyāh
Abijah	ʼAⱱīāh
Abijam	ʼAⱱiyyām
Abilene	Abilaʸnaʸ
Abimael	ʼAⱱīmāʼēl
Abimelech	ʼAⱱīmelek
Abinadab	ʼAⱱīnādāⱱ
Abinoam	ʼAⱱīnnoˊam
Abiram	ʼAⱱīrām
Abishag	ʼAⱱīshag
Abishai	ʼAⱱshay
Abishai	ʼAⱱīshay
Abishua	ʼAⱱīshūˊa
Abishur	ʼAⱱīshūr
Abital	ʼAⱱīţal
Abitub	ʼAⱱīţūⱱ
Abiud	Abioud
Abiud	ʼAⱱīhūd
Abner	ʼAⱱnēr
Abraham	Abraʼam
Abraham	ʼAⱱrāhām
Abram	ʼAⱱrām
Absalom	ʼAⱱīshālōm
Abshai	ʼAⱱshay
Acco	ˊAkkō
Achaia	Aⱪaia
Achaicus	Aⱪaikos
Achan	ˊĀkān
Achar	ˊĀkār
Achaz	Aⱪaz
Achaz	ʼĀḩāz
Achbor	ˊAkbōr
Achim	Aⱪeim
Achim	Yōqīm
Achish	ʼAkīsh
Achmetha	ʼAḩmətāʼ
