Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
#l									  			 	removeDoubleSpaces	Remove double spaces in entire file

				rem					!			. 	replaceExclamationMark	Replace interpretive exclamation mark with period
				rem					?			. 	replaceQuestionMark	Replace interpretive question mark with period
				rem					;			, 	replaceDash	Replace interpretive semicolon with comma
				rem					–			, 	replaceDash	Replace interpretive dash with comma

									, “			: 	replaceDoubleOpenQuote	Replace open quote with colon
									”				removeDoubleCloseQuote	Remove close quote
									, ‘			: 	replaceSingleOpenQuote	Replace open quote with colon
									’				removeSingleCloseQuote	Remove close quote

				rem					“				removeDoubleOpenQuote	Remove any remaining double open quotes
				rem					‘				removeSingleOpenQuote	Remove any remaining single open quotes

				rem					¶				removePilcrow	Remove any interpretive paragraph markers

l									  			 	removeDoubleSpaces	Remove double spaces in entire file
