Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment

# Make DOM consistent from various sources and mark as untranslatable
#									(et)			DOM	replaceEt	Replace (et) with DOM (now fixed earlier in convert_ClearMaculaOT_to_our_TSV.py)
#									(dm)			DOM	replaceDm	Replace (dm) with DOM (now fixed earlier in convert_ClearMaculaOT_to_our_TSV.py)
									DOM¦			\untr DOM¦\untr*	makeDOMuntr	Mark DOM as untranslatable (into English)

# Mark YHWH as divine name
									YHWH¦			\nd YHWH¦\nd*	makeYHWH_nd	Mark YHWH as divine name
									Yahweh¦			\nd YHWH¦\nd*	makeYahweh_nd	Mark YHWH as divine name

# Remove inserted word indicators
#									=			_	replaceEquals	Replace = morpheme divider with underlines
#									≈			_	replaceDoubleTilde	Replace ≈ morpheme divider with underlines

# Punctuation and spaces
				id					 - 			 	removeHyphenSpaces	Remove hyphen (untranslated article) surrounded by spaces
				id					- 			 	removeHyphenSpace	Remove hyphen (untranslated article) followed by space
				id					 -			 	removeSpaceHyphen	Remove hyphen (untranslated article) preceded by space

#l				id					_ 			_	removeUnderlineSpace	Remove space after underline (rejoins words)
l									__			_	reduceDoubleUnderlines	Reduce double underlines in entire file
l									  			 	reduceDoubleSpaces	Reduce double spaces in entire file

#									__not 			_ not 	fixUnderlineBeforeNot	Fix a double underline before inserted words

									|			/	replacePipes	Replace pipes like he|it_said to he/it_said
