Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment

# NOTE 1: This table only distinguishes names, not making any attempt to separate different people or places
# NOTE 2: Although this table applies to the OET-LV, the versification used is the ENGLISH system
# NOTE 3: Hebrew names that are also short English words (like Ham) may need the 'w' whole word flag so that the matching isn't overdone

# Individuals (or gods)
H									Aaron			אַהֲרֹן		H175 (347) Exo 4:14,27-30, ..., Acts 7:40
H					KI1_4:6,NEH_11:17				Abda			עַבְדָּא		H5653 (2) 1Ki 4:6, Neh 11:17*
H	CH1,CH2,EZR								Abdi			עַבְדִּי		H5660 (3) 1Chr 6:44, 2Chr 9:12, Ezr 10:26*
H	JOS,JDG,CH1,CH2								Abdon			עַבְדוֹן		H5658 man and city (8) Josh 21:30, Jdg 12:13,15, 1Chr 6:74, ...
H					DAN_1:7				Abednego			עֲבֵד-נְגוֹ		{ H5664 (space changed to hyphen) Azariah/Azaryah (1) Dan 1:7*
H					DAN_1:7				Abed-nego			עֲבֵד-נְגוֹ		{ H5664 (space changed to hyphen) Azariah/Azaryah (1) Dan 1:7*
wH					DAN_1:7				Abed			עֲבֵד		{ H5664 (space changed to hyphen) Azariah/Azaryah (1) Dan 1:7*
H					DAN_1:7				-nego			נְגוֹ		{ H5664 (space changed to hyphen) Azariah/Azaryah (1) Dan 1:7*
H									Nego			נְגוֹ		{ H5664 (space changed to hyphen) Azariah/Azaryah (1) Dan 1:7*
dH	GEN								Abel			הֶבֶל/(Abel)		H1893 (8) Gen 4:2,4,8-9,25*
wH					KI2_18:2				Abi			אֲבִי		H21 (1) 2Ki 18:2*
H									Abiathar			אֶבְיָתָר		H54 (30) 1Sam 22:20-22, 23:6,9, ...
H									Abida			אֲבִידָע		H28 (2) Gen 25:4, 1Chr 1:33*
H									Abiel			אֲבִיאֵל		H22 (3) 1 Sam 9:1, 14:51, 1Chr 11:32*
H									Abiezer			אֲבִיעֶזר		H44 (7) Josh 17:2, Jdg 6:34, 8:2, 2Sam 23:27, ...
H									Abigail			אֲבִיגַיִל		H26 (17) 1Sam 25:3,14,18,23,32,36,39-40,42, 27:3, ...
H									Abihail			אֲבִיהַיִל		H32 (6) Num 3:35, 1Chr 2:29, 5:14, 2Chr 11:18, Est 2:15, 9:29*
H									Abihu			אֲבִיהוּא		H30 (12) Exo 6:23, 24:1,9, 28:1, Lev 10:1, Num 3:2,4, ...
H									Abijah			אֲבִיָּה		H29 (29) 1Sa 8:2, 1Ki 14:1, 1Chr 2:24, 3:10, ...
H									Abijam			אֲבִיָּם		H38 (5) 1Ki 14:31, 15:1,7-8*
H					GEN_10:28,CH1_1:22				Abimael			אֲבִימָאֵל		H39 (2) Gen 10:28, 1Chr 1:22*
H									Abimelech			אֲבִימֶלֶךְ		H40 (67) Gen 20:2-4,8-10,14-15,17-18,22, ...
H									Abinadab			אֲבִינָדָב		H41 (12) 1Sam 7:1, 16:8, 17:13, 31:2, 2Sam 6:3-4, 1Chr 2:13, 8:33, 9:39, 10:2, 13:7*
H	JDG								Abinoam			אֲבִינֹּעַם		H42 father of Barak (4) Jdg 4:6,12, 5:1,12*
H									Abiram			אֲבִירָם		H48 (11) Num 16:1,12,24-25,27, 26:9, Deu 11:6, ...
H	KI1								Abishag			אֲבִישַׁג		H49 (5) 1Ki 1:3,15, 2:17,21-22*
H	CH1								Abshai			אַבְשַׁי		{ H52 (25) 1Chr 2:16, 11:20, 18:12, 19:11,15
H	CH1								Abishai			אַבְשַׁי		{ H52 (25) 1Chr 2:16, 11:20, 18:12, 19:11,15
H	SA1,SA2								Abishai			אֲבִישַׁי		{ H52 (25) 1Sam 26:6-9, 2Sam 2:18,24, 3:30, 10:10,14, ...
H									Abishua			אֲבִישׁוּעַ		H50 (5) 1Chr 6:4-5,50, 8:4, Ezr 7:5*
H					CH1_2:28,CH1_2:29				Abishur			אֲבִישׁוּר		H51 (2) 1Chr 2:28-29*
H					SA2_3:4,CH1_3:3				Abital			אֲבִיטַל		H37 wife of David (2) 2Sam 3:4, 1Chr 3:3*
H					CH1_8:11				Abitub			אֲבִיטוּב		H36 (1) 1Chr 8:11*
H									Abner			אַבְנֵר		H74 (63) 1Sam 14:50-51, 17:55, ...
H									Abraham			אַבְרָהָם		H85 (175) Gen 17:5,9,15,17-18,22-24, ...
H									Abram			אַבְרָם		H87 (175) Gen 11:26-27,29,31, 12:1,4-7,9-10,14,16-18, 13:1-2,4-5,7-8, 12, ...
H									Absalom			אֲבִישָׁלוֹם		H53 David's son (111) 2Sam 3:3, 13:1,4, ....
H	JOS								Achan			עָכָן		H5912 (6) Josh 7:1,18-20,24, 22:20*
