Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
# Individuals
G									Achaicus			Ἀχαϊκός		1 Cor 16:17
G									Adronicus			Ἀνδρόνικος
G									Aenon			Αἰνών		John 3:23
G									Agabus			Ἀγαβος		Acts 11:28
G									Agrippa			Ἀγρίππας		Acts 25:13
G									Alexander			Ἀλέξανδρος		2 Tim 4:14
G									Alpheus			Ἀλφαίος
G									Ampliatus			Ἀμπλίας
wG									Ananias			Ἀνανίας		Acts 4:1
G									Andrew			Ἀνδρέας
G									Andronicus			Ἀνδρόνικος		Rom 16:7
G									Annas			Ἄννας
wG									Anna			Ἅννα		Luke 2:26
G									Asyncritus			Ἀσύγκριτος
G									Apelles			Ἀπελλῆς
G									Apollyon			Ἀπολλύων		Rev 9:11
G									Apollos			Ἀπολλώς
G									Apphia			Ἀπφία
G									Aquila			Ἀκύλας
G									Archelaus			Ἀρχέλαος		Matt 2:22
G									Archippus			Ἄρχιππος
G									Aretas			Ἀρέτας
G									Aristarchus			Ἀρίσταρχος		Col 4:10
G									Aristobulus			Ἀριστόβουλος
G									Artemis			Ἀρτεμᾶς		Tit 3:12
G									Augustus			Augustus/(Σεβαστός)		Acts 27:1
G									Barnabas			Βαρνάβας
G									Barabbas			Βαραββᾶς
G									Barjesus			Βαρϊησοῦς		Acts 13:6
G									Barsabbas			Βαρσαββᾶς		Acts 1:23 voted on (but lost) as the 12th disciple
G									Bartholomew			Βαρθολομαῖος
G									Bartimaeus			Βαρτίμαιος		Mrk 10:46
G									Beelzeboul			Βεελζεβούλ
G									Beliar			Βελίαρ		A name for Satan in 2Co 6:15
G									Bernice			Βερνίκη		Acts 25:13
G									Blastus			Βλάστος		Acts 12:20
wG									Caesar			Καῖσαρ
G									Caiaphas			Καιάφας
G									Candace			Κανδάκη		Acts 8:27
G									Carpus			Κάρπος		2 Tim 4:13
G									Cephas			Κηφᾶς
G									Chloe			Χλόη
G									Claudia			Κλαυδία		2 Tim 4:21
G									Claudius			Κλαύδιος		Acts 11:28
G									Clement			Κλήμης		Php 4:3
G									Cleopas			Κλεοπᾶς		Luke 24:18
G									Cornelius			Κορνήλιος		Acts 10:1
G									Crescens			Κρήσκης		2 Tim 4:10
G									Crispus			Κρίσπος		Acts 18:10
G									Cyrenius			Κυρήνιος		Luke 2:2 (sometimes Quirinius)
G									Damaris			Δάμαρις		Acts 17:34
G									Demas			Δημᾶς		Col 4:14
G									Demetrius			Δημήτριος		3 John 12
G									Didymus			Δίδυμος/[twin]
G									Dionysius			Διονύσιος		Acts 17:34
G									Diotrephes			Διοτρεφής		3 John 9
G									Dorcas			Δορκάς		Acts 9:36
G									Drusilla			Δρούσιλλα		Acts 24:24 wife of Felix
G									Elizabeth			Ἐλισάβετ		Luk 1:5
G									Elymas			Ἐλύμας		Acts 13:8
G									Eneas			Αἰνέας		Acts 9:33 paralytic
G									Epaenetus			Ἐπαίνετος
G									Epaphras			Ἐπαφρᾶς		Col 1:7,12
G									Epaphroditus			Ἐπαφρόδιτος		Php 2:25; 4:18
G									Erastus			Ἔραστος		2 Tim 4:20
G									Eubulus			Εὔβουλος		2 Tim 4:21
G									Eunice			Εὐνίκη		2 Tim 1:5
G									Euodia			Εὐοδία		Php 4:2
G									Eutychus			Εὔτυχος		Acts 20:9
G									Felix			Φῆλιξ		Acts 23:24
G									Festus			Φῆστος		Acts 24:27
G									Fortunatus			Φορτουνάτος		1 Cor 16:17
G									Gaius			Γάϊος		3 John 1
G									Gallio			Γαλλίων		Acts 18:12
G									Hermas			Ἑρμᾶς
G									Hermes			Ἑρμῆς
G									Hermogenes			Ἑρμογένης		2 Tim 1:15
G									Herodias			Ἡρῳδιὰς
wG									Herod			Ἡρῴδης
G									Herodion			Ἡρῳδίων
G									Hymeneus			Ὑμέναιος		2 Tim 2:17
G									Iscariot			Ἰσκαριώτης
G									Jairus			Ἰάειρος		Mrk 5:22
G									Jambres			Ἰαμβρῆς		2 Tim 3:8
G									Jannes			Ἰαννῆς		2 Tim 3:8
G									Jason			Ἰάσων		Acts 17:5
G									Joanna			Ἰωάννα		Luke 24:10
G				id					John			Ἰωάννης
G									Julia			Ἰουλία
G									Julius			Ἰούλιος		Acts 27:1
G									Junia			Ἰουνιᾶς
G									Justus			Ἰοῦστος		Col 4:11
G									Lazarus			Λάζαρος		Luke 16:23
G									Lebbaios			Λεββαῖος
G									Linus			Λῖνος		2 Tim 4:21
G									Lois			Λωΐς		2 Tim 1:5
G									Lucius			Λούκιος		Acts 13:1
G				id					Luke			Λουκᾶς
G									Lydia			Λυδία		Acts 16:14
G									Lysanias			Λυσανίος
G									Lysias			Λυσίας		Acts 23:26
G									Malchus			Μάλχος		John 18:10
G									Manaen			Μαναήν		Acts 13:1
wG				id					Mark			Μάρκος
G									Martha			Μάρθα		Luke 10:38
G									Matthew			Ματθαῖος
G									Matthias			Ματθίας		Acts 1:23 chosen to be 12th disciple
G									Mnason			Μνάσων		Acts 21:16
G									Narcissus			Νάρκισσος
G									Nathanael			Ναθαναὴλ
G									Nereus			Νηρεύς
G									Nicanor			Νικάνωρ		Acts 6:5
G									Nicodemus			Νικόδημος
G									Nicolas			Νικόλαος		Acts 6:5
G									Niger			Νίγερ		Acts 13:1
G									Nympha			Νυμφᾶς		Col 4:15
G									Olympas			Ὀλυμπᾶς
G									Onesimus			Ὀνήσιμος		Col 4:9
G									Onesiphorus			Ὀνησίφορος		2 Tim 4:19
G									Timon			Τίμων		Acts 6:5
G									Parmenas			Παρμενᾶς		Acts 6:5
G									Patrobas			Πατρόβας		Rom 16:14
G									Paul			Παῦλος
G									Persis			Περσίς
G									Peter			Πέτρος
G									Phanuel			Φανουήλ		Luke 2:26
G									Philemon			Φιλήμονι
G									Philetus			Φίλητος		2 Tim 2:17
G									Philologus			Φιλόλογος
G									Phlegon			Φλέγων
wG									Philip			Φίλιππος
G									Phoebe			Φοίβη
G									Phygelus			Φύγελος		2 Tim 1:15
wG									Pilate			Πιλᾶτος
G									Pontius			Πόντιος
G									Porcius			Πόρκιος		Acts 24:27
G									Prisca			Πρίσκα
G									Priscilla			Πρίσκιλλα		Acts 18:2
G									Prochorus			Πρόχορος		Acts 6:5
G									Publius			Πόπλιος		Acts 28:7
G									Pudens			Πούδης		2 Tim 4:21
G									Quartus			Κούαρτος
G									Rhoda			Ῥόδη		Acts 12:13
G									Romfa			Ῥεμφάν		Acts 7:43
G									Rufus			Ῥοῦφος
G									Salome			Σαλώμη		Mrk 15:40, 16:1
G									Sapphira			Σαπφείρη		Acts 4:1
G									Sceva			Σκευᾶς		Acts 19:14
G									Secundus			Σεκοῦνδος		Acts 20:4
G									Sergius			Σέργιος		Acts 13:6
G									Silas			Σίλας		Acts 15:22
G									Silvanus			Σιλουανός
wG									Simon			Σίμων
G									Sopater			Σώπατρος		Acts 20:4
G									Sosipater			Σωσίπατρος		Rom 16:21
G									Sosthenes			Σωσθένης
G									Stachys			Στάχυς
G									Stephanas			Στεφανᾶς		1 Cor 1:16
G									Stephen			Στέφανος		Acts 6:5
G									Syntyche			Συντύχη		Php 4:2
G									Tabitha			Ταβηθά		Acts 9:36
G									Tertius			Τέρτιος		Rom 16:22
G									Tertullus			Τέρτυλλος		Acts 24:1-2 barrister
G									Thaddeus			Θαδδαῖος
G									Theophilus			Θεόφιλος		Acts 1:1
G									Theudas			Θευδᾶς		Acts 5:36
G									Thomas			Θωμᾶς
G									Tiberias			Τιβερίος
G									Timeus			Τιμαῖος		Mrk 10:46
G									Timon			Τίμων		Acts 6:5
G				id					Timothy			Τιμόθεος
G				id					Titus			Τίτος
G									Trophimus			Τρόφιμος		2 Tim 4:20
G									Tryphena			Τρύφαινα
G									Tryphosa			Τρυφῶσα
