Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
									benefited			benefitted
									clamor			clamour
									color			colour
									enroll 			enrol
									favor			favour
									harbor			harbour		Acts 27:12
									Harbor			Harbour		Acts 27:8
									hemorrhage			haemorrhage
									honor			honour		Mrk 12:4
									jewelry			jewellery		Eze 23:40
									judgment			judgement
									kidnape			kidnappe		1 Tim 1:10 kidnappers
									labor			labour
									marveled			marvelled
									marveling			marvelling
									marvelous			marvellous
									mold			mould		Includes moulding, smoulder
									neighbor			neighbour
									odor			odour
									paralyz			paralys		for various forms
									quarreling			quarrelling
									savior			saviour
									signaled			signalled		Luke 5:7
									signaling			signalling		Luke 1:62
									traveled			travelled
									traveling			travelling
									vapor			vapour		James 4:14
									worshipe			worshippe		worshipped, worshipper
