Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
c					MAT_3:3,MRK_1:3				of_\add +a¦\add*_shouting¦ \add >one\add*			of_ \add >one¦\add* _shouting¦		JtB's announcement
c									wilderness¦: Prepare¦			wilderness¦ prepare¦		JtB's announcement MAT_3:3,MRK_1:3
c									wilderness¦: Straighten¦			wilderness¦ straighten¦		JtB's announcement JHN_1:23

# a to an before a vowel
									\add +a¦\add*_a			\add +an¦\add*_a		Luke 14:26-27
									\add +a¦\add*_i			\add +an¦\add*_i		Mark 1:4 a immersion
									\add +a¦\add*_ o			\add +an¦\add*_ o		Mark 2:21 a old
									\add +a¦\add*_ u			\add +an¦\add*_ u		Mark 1:23, 3:30

# an to a before a consonant
									\add +an¦\add*_ b			\add +a¦\add*_ b		HEB_11:7 an box
									\add +an¦\add*_ l			\add +a¦\add*_ l		Mark 6:35 an late hour

# Fix English word order (Gloss Insert can currently only do one fix at a time)
									send_out them 			send_ them _out 		Mark 5:10 after not
