Tags	IBooks	EBooks	IMarkers	EMarkers	IRefs	ERefs	PreText	SCase	Search	PostText	RCase	Replace	Name	Comment
									ESFM file created			ESFM file originally created		In REM statement in ESFM file header
									Anointed|Christ			Christ		Matt 1:16 -- gets replaced again below
									false¦_messiah¦			anti-messiah¦		1 Jn 4:3
									Messiah			Christ		Matt 1:17 -- gets replaced again below

									Abba			Father		Gal 4:6 Aramaic that wasn't translated
									abounding¦			being¦_plentiful¦		Php 4:17, 2Th 1:3, 2Pe 1:8
									abounded¦			been¦_plentiful¦		Rom 5:20, 2Co 4:15, 8:15
									abound¦			be¦_plentiful¦		Rom 5:20, 6:1 1Th 3:12
									all¦ ˱of¦˲_you¦_all¦			all¦ ˱of¦˲_you¦		2Th 3:16 (also handles 'of_all of_you_all') WARNING: could match 'call of...'
									Amen			Truly		Rev 19:4
w									angel			messenger		Use w/word flag so it doesn't mess with words like 'evangelise'
									angels			messengers		1 Pet 3:22
w									ark			box		1 Pet 3:20 Use w/word flag so it doesn't mess with words containing ark
									Baptist			immerser
									baptize			immerse
									baptizing			immersing
#									/a¦/_baptism¦			/an¦/_immersion¦		Mrk 1:4 Now done in finalFixes
#									/a¦/_disciple¦			/an¦/_apprentice/follower¦		Luke 14:26-27 Now done in finalFixes
									baptism			immersion
									behold			see
									Behold,			See		Matt 21:4
									castrat			CASTRAT		Matt 19:12 Protect castrate, castrated, castrating, castration
									casts			throws		Matt 17:19
									cast himself			threw himself		John 21:7 (cast can be present or past!)
									be_cast			be_thrown		Matt 18:8
									been_cast			been_thrown		Mrk 9:42
									being/_cast			being/_thrown		Matt 3:10 (cast can be present or past!)
									was/_cast			was/_thrown		Jhn 15:6
					JHN_19:24				cast			threw		(cast can be present or past!)
									cast			throw		Matt 17:19 (cast can be present or past!)
									CASTRAT			castrat		Matt 19:12 Restore castrate, castrated, castrating, castration
									Cherubim¦			heavenly¦_beings¦		Heb 9:5 (plural)
									Christians¦			followers¦_of¦_the¦_messiah¦
									Christian¦			follower¦_of¦_the¦_messiah¦
d									Christ¦			chosen¦_one¦/messiah¦
w									cross			stake		Use w/word flag so it doesn't mess with words like "across"
									crucified him			executed_ him _on_a_stake		Two word numbers still NOT HANDLED by ScriptedBibleEditor
									crucified¦			executed¦_on¦_a¦_stake¦
									crucifying¦			executing¦_on¦_a¦_stake¦
									crucify¦			execute¦_on¦_a¦_stake¦
									Crucify him			Execute_ him _on_a_stake		Two word numbers still NOT HANDLED by ScriptedBibleEditor
									Crucify¦			Execute¦_on¦_a¦_stake¦
									desert			wilderness		Jhn 1:23
									Devil¦			false¦_accuser¦		Rev 12:9
					MAT_28:19				disciple¦			train¦_followers¦		Matt 28:19 verb
									discipled			trained		Acts 14:21
									disciples			apprentices/followers
									disciple			apprentice/follower
									Farewell¦			Stay¦_strong¦		Acts 15:29
									foreigner			FforeignerR		Col. 3:11 PROTECT after comma
									forgive			FforgiveE		Luke 17:3 PROTECT after comma
									before			BEFORE		2 Cor 8:21
w									For			For/Because		Jhn 3:16 Would be nice to do for 'for' also, but don't want to accidentally change the preposition (looking 'for')
					LUK_5:14				for			as		This is εἰς (into, in, unto, to, upon, towards, for, among) not γάρ
									; for			; because/for		Matt 2:5 & 6 Would be nice to do for 'for' also, but don't want to accidentally change the preposition (looking 'for')
						ROM_3:25,ROM_3:26			, for			, because/for		Matt 1:20 & 21, 18:10 Would be nice to do for 'for' also, but don't want to accidentally change the preposition (looking 'for')
